0.0040938	0.067359	0.99726	0.070038	4.9886	0.069823	3.1686e-05	3.1265e-05	2.0087e-06	0.99602	1.4948	0.2347	4.1881
0.0041363	0.069952	0.98699	0.072311	4.9016	0.070105	3.1985e-05	3.2277e-05	1.9966e-06	0.99787	1.4911	0.22331	7.6617
0.004237	0.065926	0.98923	0.072161	5.0777	0.071078	3.2716e-05	3.1095e-05	1.9996e-06	0.97771	1.5249	0.2447	7.4406
0.0042035	0.06725	1.0009	0.067106	5.0241	0.072322	3.2127e-05	3.0346e-05	2.0092e-06	0.99088	1.5028	0.23983	8.493
0.0040839	0.067529	0.98437	0.069093	5.0354	0.068977	3.2277e-05	3.1282e-05	2.045e-06	1.0151	1.4783	0.23081	9.5317
0.0039856	0.065684	0.97674	0.070869	4.9993	0.071826	3.1602e-05	3.1116e-05	1.9736e-06	0.9901	1.478	0.24506	8.2393
0.0040485	0.065087	1.0223	0.072013	5.1344	0.070484	3.1769e-05	3.116e-05	1.9538e-06	1.0125	1.4906	0.23239	9.4184
0.0039989	0.067869	0.98958	0.070648	5.0032	0.071576	3.2153e-05	3.1513e-05	2.003e-06	1.0044	1.5178	0.23396	7.8847
0.0038379	0.066477	0.99161	0.069181	4.9382	0.073902	3.091e-05	3.1285e-05	1.9608e-06	0.99315	1.5006	0.23096	4.5466
0.0041699	0.062417	1.0028	0.071422	4.8747	0.070635	3.1111e-05	3.1634e-05	2.0008e-06	1.0152	1.5036	0.22961	2.4704
0.0041543	0.070057	0.99182	0.071563	5.0468	0.072222	3.1458e-05	3.177e-05	1.9925e-06	1.0138	1.492	0.22933	5.3627
0.0039889	0.066906	0.98262	0.074347	5.0148	0.069699	3.2174e-05	3.1664e-05	1.9642e-06	0.99568	1.5245	0.21917	9.6785
0.0041164	0.067737	1.002	0.071532	5.0716	0.071772	3.0732e-05	3.1518e-05	2.0048e-06	0.99779	1.4857	0.23205	5.8272
0.0042472	0.067591	1.0103	0.075834	4.9971	0.072818	3.1249e-05	3.1632e-05	2.008e-06	1.0131	1.5395	0.24432	2.8233
0.0043129	0.066977	1.0045	0.069737	4.9958	0.075868	3.1158e-05	3.1982e-05	2.0325e-06	1.0139	1.5133	0.21658	5.4848
0.0045267	0.068638	1.0106	0.068854	5.0218	0.071297	3.1375e-05	3.1347e-05	2.0149e-06	1.0031	1.5136	0.25299	4.0943
0.004206	0.069408	0.99994	0.070085	4.9974	0.071879	3.1452e-05	3.2083e-05	1.9559e-06	1.0122	1.5194	0.23866	3.9497
0.0039464	0.0643	0.97958	0.070611	4.9624	0.070884	3.0894e-05	3.1318e-05	1.9506e-06	0.99924	1.5424	0.21231	6.7517
